ProfileCnt,LayoutName,UsedByProfiles
85,Survey__c-Survey Layout,|Admin|Benelux- GDPR User|Chatter External User|Chatter Free User|Chatter Moderator User|Cision Academy Profile|CisionChat Profile|CisionSurveys Profile|Content Only User|ContractManager|DELETED Profile|DELETED1583708272662 Profile|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Guest License User|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Survey Profile|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
65,Task-FI Task Layout,|Admin|Benelux- GDPR User|Chatter External User|Chatter Free User|Chatter Moderator User|Content Only User|ContractManager|Development Services|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
108,Task-GO Task Layout,|Admin|Benelux- GDPR User|Benelux- GDPR User|Chatter External User|Chatter Free User|Chatter Moderator User|Content Only User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Group Super User|GO Gorkana Management|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|Sys Admin - Data Restrictions|System Administrator Upload|System Administrator Upload|UK Contracts User 2018|UK Contracts User 2018|UK Credit Control User|UK Credit Control User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager- TK|UK Sales Manager|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|UK VP of Sales|VP of Sales or Customer Operations|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
1,Task-GO Task Layout Sys Admin,|Admin
78,Task-GO Training Task Layout,|Admin|Benelux- GDPR User|Chatter External User|Chatter Free User|Chatter Moderator User|Content Only User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
12,Task-SE Task Layout,|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|PRN Standard User|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Standard User -Lightning|SE Standard User|SE Support User|SE Test User Temp
27,Task-SE Task Layout -Lightning,|FI Contract Manager|FI Contract Manager|FI Marketing User|FI Marketing User|FI Standard User -Lightning|FI Standard User -Lightning|FI Standard User|FI Standard User|FI System Administrator|SE Contract Manager|SE Contract Manager|SE Marketing User|SE Marketing User|SE Sales Manager User|SE Sales Manager User|SE Solution Manager|SE Solution Manager|SE Standard User -Lightning|SE Standard User -Lightning|SE Standard User|SE Standard User|SE Support User|SE Support User|SE System Administrator|SE System Administrator|SE Test User Temp|SE Test User Temp
134,Task-Task Layout,|Admin|Benelux- GDPR User|Chatter External User|Chatter External User|Chatter Free User|Chatter Free User|Chatter Moderator User|Chatter Moderator User|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|Content Only User|Content Only User|ContractManager|ContractManager|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|Development Services|Development Services|FI System Administrator|France- GDPR User|GE Contract Manager|GE Contract Manager|GE Local Admin|GE Local Admin|GE Management User|GE Management User|GE Marketing User|GE Marketing User|GE No Extract|GE No Extract|GE Opp User|GE Opp User|GE Solution Manager|GE Solution Manager|GE Standard User|GE Standard User|GO CPRE|GO Customer Service Manager|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Identity User|Identity User|Inactive Profile|Inactive Profile|MarketingProfile|MarketingProfile|Premier Support User|Premier Support User|PRN Standard User|ReadOnly|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Solution Manager|SE System Administrator|Senior Insights Manager|SolutionManager|SolutionManager|Standard Platform User|Standard Platform User|Standard|Standard|StandardAul|StandardAul|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Solution Manager|UK Standard User|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUA2|_GGGSUB2|_GGGSUB2|_GGGSUCS|_GGGSUCS|_VoSaCO|_VoSaCO
85,Temp_Invoice_Storage__c-Temp_Invoice Layout,|Admin|Benelux- GDPR User|Chatter External User|Chatter Free User|Chatter Moderator User|Cision Academy Profile|CisionChat Profile|CisionSurveys Profile|Content Only User|ContractManager|DELETED Profile|DELETED1583708272662 Profile|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Guest License User|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Survey Profile|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
85,Test_Drive__c-Test Drive Layout,|Admin|Benelux- GDPR User|Chatter External User|Chatter Free User|Chatter Moderator User|Cision Academy Profile|CisionChat Profile|CisionSurveys Profile|Content Only User|ContractManager|DELETED Profile|DELETED1583708272662 Profile|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Management User|GE Marketing User|GE No Extract|GE Opp User|GE Solution Manager|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Guest License User|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Survey Profile|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Jobs Board Sales User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
170,Training__c-GO Training Layout,|Admin|Admin|Benelux- GDPR User|Benelux- GDPR User|Chatter External User|Chatter External User|Chatter Free User|Chatter Free User|Chatter Moderator User|Chatter Moderator User|Cision Academy Profile|Cision Academy Profile|CisionChat Profile|CisionChat Profile|CisionSurveys Profile|CisionSurveys Profile|Content Only User|Content Only User|ContractManager|ContractManager|DELETED Profile|DELETED Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|Development Services|Development Services|FI Contract Manager|FI Contract Manager|FI Marketing User|FI Marketing User|FI Standard User -Lightning|FI Standard User -Lightning|FI Standard User|FI Standard User|FI System Administrator|FI System Administrator|France- GDPR User|France- GDPR User|GE Contract Manager|GE Contract Manager|GE Local Admin|GE Local Admin|GE Management User|GE Management User|GE Marketing User|GE Marketing User|GE No Extract|GE No Extract|GE Opp User|GE Opp User|GE Solution Manager|GE Solution Manager|GE Standard User|GE Standard User|GO CPRE|GO CPRE|GO Customer Service Manager|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Group Super User|GO Gorkana Management|GO Gorkana Management|Guest License User|Guest License User|Identity User|Identity User|Inactive Profile|Inactive Profile|MarketingProfile|MarketingProfile|Premier Support User|Premier Support User|PRN Standard User|PRN Standard User|ReadOnly|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|REMOVED GO Integration|SE Contract Manager|SE Contract Manager|SE Marketing User|SE Marketing User|SE Sales Manager User|SE Sales Manager User|SE Solution Manager|SE Solution Manager|SE Standard User -Lightning|SE Standard User -Lightning|SE Standard User|SE Standard User|SE Support User|SE Support User|SE System Administrator|SE System Administrator|SE Test User Temp|SE Test User Temp|Senior Insights Manager|Senior Insights Manager|SolutionManager|SolutionManager|Standard Platform User|Standard Platform User|Standard|Standard|StandardAul|StandardAul|Survey Profile|Survey Profile|Sys Admin - Data Restrictions|Sys Admin - Data Restrictions|System Administrator Upload|System Administrator Upload|UK Contracts User 2018|UK Contracts User 2018|UK Credit Control User|UK Credit Control User|UK Jobs Board Sales User|UK Jobs Board Sales User|UK Marketing User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager- TK|UK Sales Manager|UK Sales Manager|UK Solution Manager|UK Solution Manager|UK Standard User|UK Standard User|UK VP of Sales|UK VP of Sales|VP of Sales or Customer Operations|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUA2|_GGGSUB2|_GGGSUB2|_GGGSUCS|_GGGSUCS|_VoSaCO|_VoSaCO
